[2022-12-06 20:30:46,813][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:47,029][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:47,252][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:47,465][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:47,705][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:47,922][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:48,141][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:48,368][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:48,602][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:48,852][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:49,076][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
